accession	accession.version	taxid	gi
A00002	A00002.1	9913	2
A00003	A00003.1	9913	3
X17276	X17276.1	9646	4
X60065	X60065.1	9913	5
X55027	X55027.1	9913	11
Z12029	Z12029.1	9915	15
X52700	X52700.1	9771	16
X52701	X52701.1	9771	17
X52702	X52702.1	9771	18
X52706	X52706.1	9771	19
X52703	X52703.1	9771	20
X52704	X52704.1	9771	21
X52705	X52705.1	9771	22
X53811	X53811.1	9771	23
X53812	X53812.1	9771	24
X53813	X53813.1	9771	25
X53814	X53814.1	9771	26
Z18633	Z18633.1	9770	27
Z18632	Z18632.1	9770	28
X60496	X60496.1	9913	33
X60497	X60497.1	9913	36
X60498	X60498.1	9913	37
X60960	X60960.1	9913	40
X63129	X63129.1	9913	41
X62294	X62294.1	9913	43
X16451	X16451.1	9913	60
X63317	X63317.1	9913	67
X05087	X05087.1	9913	69
X05090	X05090.1	9913	70
X63475	X63475.1	9913	71
X63474	X63474.1	9913	72
X56649	X56649.1	9913	73
Z11742	Z11742.1	9913	77
X56933	X56933.1	9913	79
X56124	X56124.1	9913	82
X59856	X59856.2	9913	109659794
X64898	X64898.1	9913	113
X56119	X56119.1	9913	119
X57765	X57765.1	9913	121
X63139	X63139.1	9913	123
X52582	X52582.1	9913	124
X52581	X52581.1	9913	125
X14710	X14710.1	9913	127
X03365	X03365.1	9913	142
X59767	X59767.1	9913	150
X03366	X03366.1	9913	154
X58386	X58386.1	9913	162
X67333	X67333.1	9913	167
X03590	X03590.1	9913	169
X00565	X00565.1	9913	170
X00564	X00564.1	9913	175
X62881	X62881.1	9913	186
X59416	X59416.1	9913	190
X55489	X55489.1	9913	201
X51604	X51604.1	9913	203
X57146	X57146.1	9913	209
X54289	X54289.1	9913	213
X63221	X63221.1	9913	221
X63220	X63220.1	9913	223
X63215	X63215.1	9913	225
X63216	X63216.1	9913	231
X63209	X63209.1	9913	233
X63213	X63213.1	9913	235
X63218	X63218.1	9913	237
X63211	X63211.1	9913	239
X63212	X63212.1	9913	241
X63210	X63210.1	9913	243
X63219	X63219.1	9913	245
X63217	X63217.1	9913	247
X63214	X63214.1	9913	249
X63223	X63223.1	9913	251
X63224	X63224.1	9913	255
X63208	X63208.1	9913	257
X53556	X53556.1	9913	263
X56857	X56857.1	9913	269
X56739	X56739.1	9913	271
X58823	X58823.1	9913	278
X04411	X04411.1	9913	279
X57031	X57031.1	9913	285
X01036	X01036.1	9913	287
X51657	X51657.1	9913	304
X58466	X58466.1	9913	306
X56967	X56967.1	9913	310
X56968	X56968.1	9913	312
X56966	X56966.1	9913	315
Z18244	Z18244.1	9913	317
X53689	X53689.1	9913	324
Z14089	Z14089.1	9913	336
V00110	V00110.1	9913	356
X61456	X61456.1	9913	360
X12657	X12657.1	9913	388
X00376	X00376.1	9913	394
Y00770	Y00770.1	9913	407
X68443	X68443.1	9913	431
X54980	X54980.1	9913	433
X54979	X54979.1	9913	435
X17201	X17201.1	9913	452
X67340	X67340.1	9913	462
X52687	X52687.1	9913	464
Z11749	Z11749.1	9913	466
X05048	X05048.1	9913	477
X05131	X05131.1	9913	482
X05127	X05127.1	9913	483
X54801	X54801.1	9913	503
X57084	X57084.1	9913	505
X62882	X62882.1	9913	515
X15609	X15609.1	9913	523
X67825	X67825.1	9913	532
X67827	X67827.1	9913	540
X65202	X65202.1	9913	542
X65205	X65205.1	9913	545
X65212	X65212.1	9913	552
X65213	X65213.1	9913	553
X65215	X65215.1	9913	555
X65217	X65217.1	9913	557
X64897	X64897.1	9913	559
X59504	X59504.1	9913	561
Z14036	Z14036.1	9913	565
Z14037	Z14037.1	9913	566
Z14038	Z14038.1	9913	567
Z14039	Z14039.1	9913	568
Z14040	Z14040.1	9913	569
Z14041	Z14041.1	9913	570
Z14042	Z14042.1	9913	571
Z14043	Z14043.1	9913	572
X67831	X67831.1	9913	574
X54978	X54978.1	9913	575
X54977	X54977.1	9913	577
X12357	X12357.1	9913	583
V00114	V00114.1	9913	591
X15600	X15600.1	9913	595
X63322	X63322.1	9913	596
X52907	X52907.1	9913	599
X54962	X54962.1	9913	610
X63436	X63436.1	9913	642
X57033	X57033.1	9913	646
X16581	X16581.1	9913	648
X14321	X14321.1	9913	650
X14320	X14320.1	9913	652
X16641	X16641.1	9913	673
X01452	X01452.1	9913	675
X01744	X01744.1	9913	676
X12891	X12891.1	9913	681
X55882	X55882.1	9913	683
X12516	X12516.1	9913	685
X17364	X17364.1	9913	691
X17365	X17365.1	9913	692
V00115	V00115.1	9913	693
V00116	V00116.1	9913	694
V00118	V00118.1	9913	695
V00119	V00119.1	9913	696
V00120	V00120.1	9913	697
V00121	V00121.1	9913	698
V00122	V00122.1	9913	699
V00123	V00123.1	9913	700
V00124	V00124.1	9913	701
V00125	V00125.1	9913	702
X03116	X03116.1	9913	703
V00126	V00126.1	9913	704
V00127	V00127.1	9913	705
V00128	V00128.1	9913	706
V00129	V00129.1	9913	707
V00130	V00130.1	9913	708
V00131	V00131.1	9913	709
V00132	V00132.1	9913	710
V00133	V00133.1	9913	711
X15543	X15543.1	9913	712
V00134	V00134.1	9913	715
X53699	X53699.1	9913	719
X13767	X13767.1	9913	721
X06739	X06739.1	9913	724
X06740	X06740.1	9913	725
X00979	X00979.1	9913	726
X03160	X03160.1	9913	727
X03161	X03161.1	9913	728
X03162	X03162.1	9913	729
X03163	X03163.1	9913	730
X03164	X03164.1	9913	731
X03165	X03165.1	9913	732
X03166	X03166.1	9913	733
X51689	X51689.1	9913	734
X54183	X54183.1	9913	736
X54551	X54551.1	9913	740
X06685	X06685.1	9913	741
X54799	X54799.1	9913	757
X65539	X65539.1	9913	765
X14324	X14324.1	9913	788
X05380	X05380.1	9913	790
X05381	X05381.1	9913	792
X14325	X14325.1	9913	794
X65041	X65041.1	9913	807
X56626	X56626.1	9913	809
X56627	X56627.1	9913	810
X04542	X04542.1	9913	823
X53918	X53918.1	9913	824
X51354	X51354.1	9913	826
X51355	X51355.1	9913	827
X51356	X51356.1	9913	828
X54703	X54703.1	9913	829
X02312	X02312.1	9925	838
X65450	X65450.1	9615	839
X53591	X53591.1	9615	845
X53592	X53592.1	9615	847
X55317	X55317.1	9615	857
X63079	X63079.1	9860	863
Z18635	Z18635.1	27608	865
Z18634	Z18634.1	27608	866
X56125	X56125.1	9615	872
X64964	X64964.1	9615	882
X64965	X64965.1	9615	883
X64966	X64966.1	9615	884
X64967	X64967.1	9615	885
X64968	X64968.1	9615	886
X64969	X64969.1	9615	887
X64970	X64970.1	9615	888
X64971	X64971.1	9615	889
X64972	X64972.1	9615	892
X64973	X64973.1	9615	893
X14610	X14610.1	9615	894
X54915	X54915.1	9615	909
Y00399	Y00399.1	9615	911
X56384	X56384.1	9615	913
X56387	X56387.1	9615	914
X56388	X56388.1	9615	916
X56389	X56389.1	9615	918
X56385	X56385.1	9615	920
X56390	X56390.1	9615	921
X56391	X56391.1	9615	926
X53744	X53744.1	9615	931
X63678	X63678.1	9615	941
X57335	X57335.1	9925	945
X56463	X56463.1	9925	952
X59836	X59836.1	9925	953
V00151	V00151.1	9925	959
V00154	V00154.1	9925	965
X67490	X67490.1	9925	983
X02313	X02313.1	9925	984
X02314	X02314.1	9925	985
X02315	X02315.1	9925	986
X03118	X03118.1	9925	987
X14997	X14997.1	9925	989
X55312	X55312.1	9925	991
V00179	V00179.1	9616	994
Z18637	Z18637.1	9728	998
Z18636	Z18636.1	9728	999
Z18639	Z18639.1	9749	1000
Z18638	Z18638.1	9749	1001
Z18906	Z18906.1	9267	1002
Z11814	Z11814.1	9267	1004
X51914	X51914.1	9796	1007
X58563	X58563.1	9796	1008
Z18645	Z18645.1	9794	1074
Z18644	Z18644.1	9794	1075
X01086	X01086.1	9796	1078
Z11811	Z11811.1	9685	1082
X06372	X06372.1	9685	1083
X60725	X60725.1	11673	1092
X51929	X51929.1	9683	1094
X16582	X16582.1	9683	1099
X68820	X68820.1	9731	1116
X68821	X68821.1	9731	1117
X68822	X68822.1	9731	1118
X68823	X68823.1	9731	1119
Z18641	Z18641.1	9731	1120
Z18640	Z18640.1	9731	1121
Z18643	Z18643.1	27615	1128
Z18642	Z18642.1	27615	1129
Z18647	Z18647.1	27610	1130
Z18646	Z18646.1	27610	1131
Z18649	Z18649.1	27611	1135
Z18648	Z18648.1	27611	1136
Z18665	Z18665.1	27613	1137
Z18664	Z18664.1	27613	1138
Z18651	Z18651.1	27616	1151
Z18650	Z18650.1	27616	1152
X02323	X02323.1	9887	1160
Z18653	Z18653.1	9773	1161
Z18652	Z18652.1	9773	1162
X59440	X59440.1	9668	1163
Z18654	Z18654.1	27617	1164
X56823	X56823.1	9886	1165
X56218	X56218.1	452646	1168
X56219	X56219.1	452646	1169
X56220	X56220.1	452646	1170
X56221	X56221.1	452646	1171
X56222	X56222.1	452646	1172
X56223	X56223.1	452646	1173
Z19516	Z19516.1	452646	1188
X68287	X68287.1	9940	1194
X59068	X59068.1	9940	1196
X16482	X16482.1	9940	1210
X51357	X51357.1	9940	1259
X51358	X51358.1	9940	1260
X51403	X51403.1	9940	1261
X55638	X55638.1	9940	1266
X60167	X60167.1	9940	1271
X54796	X54796.1	9940	1273
Z11560	Z11560.1	9940	1275
X05638	X05638.1	9940	1301
X05639	X05639.1	9940	1303
X55294	X55294.1	9940	1305
X62509	X62509.1	9940	1307
X07972	X07972.1	9940	1344
X62102	X62102.1	9940	1347
X00434	X00434.1	9939	1378
X16578	X16578.1	9940	1379
X01839	X01839.1	9939	1381
X03117	X03117.1	9939	1384
Z12963	Z12963.1	9940	1391
Z12964	Z12964.1	9940	1393
Z12965	Z12965.1	9940	1395
Z12966	Z12966.1	9940	1397
X55966	X55966.1	9940	1403
X55152	X55152.1	9940	1405
X56346	X56346.1	9940	1407
X56341	X56341.1	9940	1409
X56342	X56342.1	9940	1411
X56344	X56344.1	9940	1415
X56345	X56345.1	9940	1417
X61503	X61503.1	9986	1423
X06789	X06789.1	9986	1425
X62549	X62549.1	9986	1434
X56031	X56031.1	9986	1435
V00875	V00875.1	9986	1443
X51508	X51508.1	9986	1447
X16427	X16427.1	9986	1449
X16428	X16428.1	9986	1451
X64694	X64694.1	9986	1470
V00878	V00878.1	9986	1482
V00881	V00881.1	9986	1488
X64297	X64297.1	9986	1497
X64298	X64298.1	9986	1499
X64299	X64299.1	9986	1501
X64300	X64300.1	9986	1503
X60782	X60782.1	9986	1505
X55763	X55763.1	9986	1507
X55040	X55040.1	9986	1511
X15735	X15735.1	9986	1521
Z11846	Z11846.1	9986	1536
X15724	X15724.1	9986	1549
X62245	X62245.1	9986	1550
X68142	X68142.1	9986	1552
X61939	X61939.1	9986	1554
X59931	X59931.1	9986	1556
X14578	X14578.1	9986	1560
X54415	X54415.1	9986	1561
X13837	X13837.1	9986	1564
X57124	X57124.1	9986	1570
X57125	X57125.1	9986	1571
X57126	X57126.1	9986	1572
X00231	X00231.1	9986	1577
X00232	X00232.1	9986	1582
X13699	X13699.1	9986	1588
X13700	X13700.1	9986	1589
X57729	X57729.1	9986	1593
Z11812	Z11812.1	9986	1603
X60985	X60985.1	9986	1604
X15116	X15116.1	9986	1605
X15967	X15967.1	9986	1608
X15969	X15969.1	9986	1609
X15968	X15968.1	9986	1610
X15966	X15966.1	9986	1611
X55146	X55146.1	9986	1621
X05958	X05958.1	9986	1622
X07791	X07791.1	9986	1626
X07790	X07790.1	9986	1627
X54041	X54041.1	9986	1632
X54042	X54042.1	9986	1634
X54043	X54043.1	9986	1636
X54044	X54044.1	9986	1638
X59935	X59935.1	9986	1642
X58123	X58123.1	9986	1649
X61504	X61504.1	9986	1653
X57209	X57209.1	9986	1655
X60421	X60421.1	9986	1657
Y00761	Y00761.1	9986	1661
X03030	X03030.1	9986	1665
X56536	X56536.1	9986	1666
X59069	X59069.1	9986	1674
X61639	X61639.1	9986	1680
X14030	X14030.1	9986	1686
X06623	X06623.1	9986	1693
X06624	X06624.1	9986	1694
X02215	X02215.1	9986	1697
X02216	X02216.1	9986	1698
X59602	X59602.1	9986	1704
X15749	X15749.1	9986	1706
X06778	X06778.1	9986	1707
X00640	X00640.1	9986	1708
X62677	X62677.1	9986	1711
X15209	X15209.1	9986	1713
X55355	X55355.1	9986	1716
X65078	X65078.1	9986	1720
V00897	V00897.1	9986	1736
Z19092	Z19092.1	9986	1746
X58533	X58533.1	9986	1750
X02668	X02668.1	9986	1752
X02667	X02667.1	9986	1753
X14696	X14696.1	9986	1759
X57776	X57776.1	9986	1765
X57777	X57777.1	9986	1767
Y00136	Y00136.1	9986	1771
X52564	X52564.3	9986	207102715
X59242	X59242.1	9943	1785
X53561	X53561.1	9940	1800
X56972	X56972.1	9940	1808
X55641	X55641.1	9940	1810
Z11496	Z11496.1	9733	1814
X56129	X56129.1	9986	1817
X58696	X58696.1	9986	1819
X58695	X58695.1	9986	1820
X58697	X58697.1	9986	1824
X51695	X51695.1	9939	1827
X56130	X56130.1	9939	1829
Z18655	Z18655.1	9755	1831
Z18666	Z18666.1	9755	1832
Z11809	Z11809.1	9405	1833
Z18657	Z18657.1	9742	1834
Z18656	Z18656.1	9742	1835
Z18659	Z18659.1	27614	1836
Z18658	Z18658.1	27614	1837
X53719	X53719.1	9823	1848
X52990	X52990.1	9825	1850
X13919	X13919.1	9378	1854
X60317	X60317.1	9823	1873
X52087	X52087.1	9823	1881
X54669	X54669.1	9823	1883
X17057	X17057.1	9823	1894
X56127	X56127.1	9823	1895
X04709	X04709.1	9823	1914
X16951	X16951.1	9823	1924
X63323	X63323.1	9823	1930
X56503	X56503.1	9823	1932
X53256	X53256.1	9823	1938
X17058	X17058.1	9823	1955
X63893	X63893.1	9823	1957
X61436	X61436.1	9823	1973
X61437	X61437.1	9823	1974
X06668	X06668.1	9823	1975
X15410	X15410.1	9823	1976
X52388	X52388.1	9823	1981
X52077	X52077.1	9823	1983
X17638	X17638.1	9823	1995
X68330	X68330.1	9823	1997
X15411	X15411.1	9823	2008
X67188	X67188.1	9823	2013
X54328	X54328.1	9823	2017
X54330	X54330.1	9823	2019
X54329	X54329.1	9823	2021
X51559	X51559.1	9823	2026
X51560	X51560.1	9823	2027
X51558	X51558.1	9823	2028
X51556	X51556.1	9823	2029
X51555	X51555.1	9823	2030
X67109	X67109.1	9823	2033
X51564	X51564.1	9823	2044
X51565	X51565.1	9823	2045
X06158	X06158.1	9823	2047
X51563	X51563.1	9823	2057
X51561	X51561.1	9823	2058
X51562	X51562.1	9823	2059
X53456	X53456.1	9823	2060
X57191	X57191.1	9823	2062
X57195	X57195.1	9823	2064
X57196	X57196.1	9823	2066
X58428	X58428.1	9823	2068
X57192	X57192.1	9823	2095
X57193	X57193.1	9823	2096
X57194	X57194.1	9823	2097
X53730	X53730.1	9823	2101
X16513	X16513.1	9823	2103
X63651	X63651.1	9823	2105
X12696	X12696.1	9823	2106
Z15155	Z15155.1	9823	2114
Z15156	Z15156.1	9823	2116
X64057	X64057.1	9823	2118
X54859	X54859.1	9823	2132
X54001	X54001.1	9823	2135
X57321	X57321.1	9823	2137
X51428	X51428.1	9823	2149
Z11810	Z11810.1	9426	2160
Z11808	Z11808.1	9395	2161
Z11829	Z11829.1	263451	2162
Z18663	Z18663.1	9739	2163
Z18662	Z18662.1	9739	2164
X56128	X56128.1	29073	2165
X52450	X52450.1	9986	2180
X53151	X53151.1	9986	2183
X53152	X53152.1	9986	2185
X53153	X53153.1	9986	2187
X69017	X69017.1	9616	2201
Z19540	Z19540.1	9823	2282
A00040	A00040.1	5076	2284
X17454	X17454.1	5599	2286
X59936	X59936.1	4766	2289
Z11580	Z11580.1	746128	2294
X61765	X61765.1	5059	2299
X61766	X61766.1	5059	2301
X00074	X00074.1	5350	2309
X17197	X17197.1	5191	2314
X62696	X62696.1	162425	2316
X52755	X52755.1	5061	2323
X52756	X52756.1	5061	2325
Y00493	Y00493.1	162425	2329
X59269	X59269.1	162425	2334
X00712	X00712.1	5061	2342
X16121	X16121.1	162425	2347
X56442	X56442.1	5061	2349
X56443	X56443.1	5061	2354
X62993	X62993.1	5061	2364
X54145	X54145.1	5061	2372
X60724	X60724.1	5061	2374
X54146	X54146.1	5061	2380
X58892	X58892.1	5061	2382
Z16414	Z16414.1	5061	2392
X06626	X06626.1	5061	2394
X03564	X03564.1	162425	2409
X03566	X03566.1	162425	2410
X03567	X03567.1	162425	2411
X03568	X03568.1	162425	2412
X03565	X03565.1	162425	2413
X03569	X03569.1	162425	2414
X17561	X17561.1	5062	2427
X54726	X54726.1	5062	2429
X61086	X61086.1	5062	2467
X56176	X56176.1	5064	2475
X07736	X07736.1	5062	2477
X06849	X06849.1	5005	2479
X06854	X06854.1	5331	2483
X58052	X58052.1	5007	2485
X54264	X54264.1	4808	2486
X01543	X01543.1	4809	2489
X06574	X06574.1	5044	2490
X16634	X16634.1	5476	2494
X53050	X53050.1	5476	2496
Z11484	Z11484.1	5476	2497
X65583	X65583.1	5044	2499
X52420	X52420.1	5476	2501
X62496	X62496.1	5476	2513
X53823	X53823.1	5476	2516
X56867	X56867.1	5476	2518
Z18982	Z18982.1	5456	2533
Z18985	Z18985.1	5460	2534
Z18988	Z18988.1	5456	2535
X70789	X70789.1	5346	2538
Z18986	Z18986.1	5461	2552
X60284	X60284.1	5499	2553
Z18980	Z18980.1	474922	2567
Z18984	Z18984.1	31870	2568
Z18989	Z18989.1	474922	2569
Z18992	Z18992.1	474922	2570
Z18993	Z18993.1	474922	2571
Z18995	Z18995.1	474922	2572
Z18998	Z18998.1	474922	2573
Z18999	Z18999.1	474922	2574
Z14026	Z14026.1	27339	2580
X58571	X58571.1	5501	2588
X63114	X63114.1	199306	2589
X61929	X61929.1	199306	2591
Z18977	Z18977.1	290576	2594
Z18979	Z18979.1	5462	2595
Z18983	Z18983.1	290576	2596
Z18987	Z18987.1	290576	2597
Z18994	Z18994.1	290576	2598
Z18996	Z18996.1	290576	2599
X58718	X58718.1	5503	2600
Z18976	Z18976.1	5464	2602
Z18981	Z18981.1	5463	2603
Z14025	Z14025.1	5200	2613
Z18997	Z18997.1	5465	2617
Z19000	Z19000.1	5465	2618
Z19001	Z19001.1	5465	2619
X14525	X14525.1	5116	2627
X63351	X63351.1	5116	2628
X53997	X53997.1	5116	2630
Z18978	Z18978.1	5467	2645
Z18990	Z18990.1	5466	2646
Z18991	Z18991.1	5466	2647
X61438	X61438.1	5482	2648
X54875	X54875.1	5482	2653
Z13010	Z13010.1	5482	2659
Z13011	Z13011.1	5482	2661
Z13012	Z13012.1	5482	2663
Z13013	Z13013.1	5482	2665
Z13014	Z13014.1	5482	2667
X57854	X57854.1	5482	2669
X00573	X00573.1	5301	2678
X00073	X00073.1	5256	2681
Z17385	Z17385.1	4932	2695
X61490	X61490.1	4911	2699
X04989	X04989.1	5116	2710
X00574	X00574.1	5337	2712
X57200	X57200.1	5113	2715
X00069	X00069.1	5407	2719
X06851	X06851.1	5211	2720
X06850	X06850.1	5210	2721
X64799	X64799.1	5507	2722
Z12003	Z12003.1	5507	2724
X65474	X65474.1	5128	2726
X65475	X65475.1	5128	2727
X65476	X65476.1	5128	2728
Z18755	Z18755.3	61235	15591913
X65477	X65477.1	5128	2731
X65478	X65478.1	5128	2732
X65479	X65479.1	5128	2733
X65480	X65480.1	5128	2734
X65481	X65481.1	5128	2735
X65482	X65482.1	5128	2736
X58370	X58370.1	5127	2739
X58862	X58862.1	870730	2762
X56501	X56501.1	870730	2775
X03540	X03540.1	870730	2777
X68143	X68143.1	5101	2787
X00732	X00732.1	1156965	2789
X00337	X00337.1	1156965	2790
X00338	X00338.1	1156965	2791
V00626	V00626.1	4932	2796
V00627	V00627.1	4932	2797
V00628	V00628.1	4932	2798
V00629	V00629.1	4932	2799
X51830	X51830.1	28985	2806
X62766	X62766.1	28985	2807
X62767	X62767.1	28985	2809
X64462	X64462.1	28985	2811
X58150	X58150.1	28985	2815
X55149	X55149.1	28985	2825
X64397	X64397.1	28985	2832
X00967	X00967.1	28985	2838
X00968	X00968.1	28985	2839
X00969	X00969.1	28985	2840
X00970	X00970.1	28985	2841
X01096	X01096.1	4932	2852
X01097	X01097.1	4932	2853
X00430	X00430.1	28985	2859
X59860	X59860.1	28985	2896
X59963	X59963.1	4911	2907
X00730	X00730.1	28985	2913
X63130	X63130.1	5353	2921
X54266	X54266.1	4803	2922
Z13955	Z13955.1	5022	2923
X53499	X53499.1	5278	2924
X69870	X69870.1	36080	2925
X53475	X53475.1	148305	2929
X63076	X63076.1	5341	2930
X13912	X13912.1	5142	2942
Z11593	Z11593.1	4792	2943
Z11594	Z11594.1	4792	2944
X00818	X00818.1	4932	2947
X00575	X00575.1	5033	2952
X54863	X54863.1	4841	2961
Z17311	Z17311.1	5270	2966
X62697	X62697.1	5141	2970
X00363	X00363.1	5141	2976
X62506	X62506.1	5141	2980
X05507	X05507.1	5141	3007
X14801	X14801.1	5141	3013
X13021	X13021.1	5141	3020
X58967	X58967.1	5141	3022
X56883	X56883.1	5141	3025
X53735	X53735.1	5141	3027
X57602	X57602.1	5141	3033
X56226	X56226.1	5141	3035
X59258	X59258.1	5141	3041
X56237	X56237.1	5141	3043
X56238	X56238.1	5141	3045
X54508	X54508.1	5141	3047
X56612	X56612.1	5141	3049
X58713	X58713.1	5141	3053
X02607	X02607.1	5141	3055
V00869	V00869.1	5141	3069
V00870	V00870.1	5141	3071
X53533	X53533.1	5141	3073
X55637	X55637.1	5141	3075
X01373	X01373.1	5141	3077
X02447	X02447.1	5141	3078
X02705	X02705.1	5141	3079
X04971	X04971.1	5141	3080
X55832	X55832.1	5141	3081
X55833	X55833.1	5141	3082
X00736	X00736.1	5141	3083
X58966	X58966.1	5141	3088
X65526	X65526.1	4758	3090
X58054	X58054.1	4927	3093
X59801	X59801.1	5145	3095
X64194	X64194.1	5145	3097
X52957	X52957.1	5145	3104
X54864	X54864.1	5145	3105
X05226	X05226.1	5145	3106
X05227	X05227.1	5145	3107
X54981	X54981.1	5145	3108
X58371	X58371.2	4837	9188116
X53601	X53601.1	4837	3114
X70408	X70408.2	5083	56266626
X51590	X51590.1	5306	3135
X55343	X55343.1	5306	3137
Z15134	Z15134.1	5306	3139
Z15135	Z15135.1	5306	3141
X17436	X17436.1	5076	3143
X12698	X12698.1	5306	3147
X54257	X54257.1	5306	3154
X56047	X56047.1	5306	3165
X58912	X58912.1	5028	3167
Z11586	Z11586.1	5297	3168
X01546	X01546.1	4798	3169
Z11579	Z11579.1	4787	3173
X01544	X01544.1	4820	3174
X55717	X55717.1	4787	3175
X58055	X58055.1	4926	3179
X54265	X54265.1	4788	3182
X60348	X60348.1	5076	3183
X60211	X60211.1	5791	3185
X02646	X02646.1	4922	3188
X60788	X60788.1	5791	3190
X15815	X15815.1	5791	3194
Z11591	Z11591.1	4792	3197
X56180	X56180.1	4922	3202
X55776	X55776.1	5078	3211
V01157	V01157.1	5791	3217
X05229	X05229.1	5791	3219
X05230	X05230.1	5791	3220
X00180	X00180.1	5791	3222
X00213	X00213.1	5791	3223
V01160	V01160.1	5791	3225
X00426	X00426.1	5791	3226
X00425	X00425.1	5791	3227
X02036	X02036.1	5791	3228
X13160	X13160.1	5791	3229
X56910	X56910.1	4923	3235
X52770	X52770.1	5791	3238
X02625	X02625.1	5791	3248
X12547	X12547.1	5791	3256
X52134	X52134.2	5308	4688995
X55392	X55392.1	4924	3262
X01570	X01570.1	5403	3270
X00067	X00067.1	5574	3271
X54399	X54399.1	106023	3272
X00068	X00068.1	5575	3274
X60094	X60094.1	5414	3275
X56965	X56965.1	4844	3278
X56992	X56992.1	4844	3280
X06848	X06848.1	5286	3292
X06104	X06104.1	4773	3295
V01285	V01285.1	27292	3296
X02777	X02777.1	4932	3308
X06853	X06853.1	5334	3314
X67579	X67579.1	4932	3315
X06838	X06838.1	4932	3316
X59027	X59027.1	4932	3319
V01288	V01288.1	4932	3325
V01289	V01289.1	4932	3327
V01290	V01290.1	27292	3331
X62877	X62877.1	4932	3350
X16861	X16861.1	4932	3352
X57300	X57300.1	4932	3359
Z17314	Z17314.1	4932	3361
X56043	X56043.1	4932	3363
X63998	X63998.1	4932	3367
X07070	X07070.1	4932	3371
X13514	X13514.1	4932	3382
X04219	X04219.1	4932	3389
V01295	V01295.1	4932	3390
X04221	X04221.1	4932	3391
X04222	X04222.1	4932	3392
X04220	X04220.1	4932	3393
X52004	X52004.1	4932	3395
X16721	X16721.1	4932	3401
X58787	X58787.1	4932	3409
X60227	X60227.1	4932	3414
X63826	X63826.1	4932	3416
X13569	X13569.1	4932	3418
X13562	X13562.1	4932	3419
X13563	X13563.1	4932	3420
X13564	X13564.1	4932	3421
X13565	X13565.1	4932	3422
X13566	X13566.1	4932	3423
X13567	X13567.1	4932	3424
X13568	X13568.1	4932	3425
X69124	X69124.1	4932	3428
X57792	X57792.1	4932	3432
X17306	X17306.1	4932	3438
X17307	X17307.1	4932	3439
X17308	X17308.1	4932	3440
X05571	X05571.1	4932	3453
Z14021	Z14021.1	4932	3461
X16120	X16120.1	4932	3465
Z15032	Z15032.1	4932	3481
X05626	X05626.1	4932	3504
X65299	X65299.1	4932	3509
X15362	X15362.1	4932	3512
X65124	X65124.1	4932	3517
X61275	X61275.1	4932	3539
X57782	X57782.1	4932	3553
X56961	X56961.1	4932	3555
X54963	X54963.1	4932	3557
X54964	X54964.1	4932	3559
Y00152	Y00152.1	4932	3571
X14451	X14451.1	4932	3572
X14452	X14452.1	4932	3573
X57316	X57316.1	4932	3593
X63068	X63068.1	4932	3595
X52411	X52411.1	4932	3599
X69548	X69548.1	4932	3606
X03472	X03472.1	4932	3613
X51497	X51497.1	4932	3623
X57278	X57278.1	4932	3646
V01571	V01571.1	4932	3648
V01572	V01572.1	4932	3649
X55712	X55712.1	4932	3653
X55713	X55713.1	4932	3655
X07238	X07238.1	4932	3657
X58500	X58500.1	4932	3661
X54525	X54525.1	4932	3666
X67316	X67316.1	4932	3672
X55875	X55875.1	4932	3683
X59959	X59959.1	4932	3685
X00731	X00731.1	27292	3689
Z11746	Z11746.1	4932	3690
X66194	X66194.1	4932	3691
X15003	X15003.1	4932	3695
X53946	X53946.1	4932	3701
X54157	X54157.1	4932	3703
Y00829	Y00829.1	4932	3711
X63941	X63941.1	4932	3713
X00215	X00215.1	4932	3715
X63617	X63617.1	4932	3727
X53424	X53424.1	4932	3729
X06408	X06408.1	4932	3746
X67559	X67559.1	4932	3760
V01309	V01309.1	4932	3782
X56235	X56235.1	4932	3803
X56236	X56236.1	4932	3805
X61271	X61271.1	4932	3807
X58379	X58379.1	4932	3811
X66066	X66066.1	4932	3831
X56885	X56885.1	4932	3837
X01126	X01126.1	4932	3839
X01127	X01127.1	4932	3840
X56604	X56604.1	4932	3841
X54717	X54717.1	4932	3846
X56259	X56259.1	4932	3863
X62941	X62941.1	4932	3865
X01128	X01128.1	4932	3867
X56835	X56835.1	4932	3868
X56836	X56836.1	4932	3870
X56506	X56506.1	4932	3875
X57781	X57781.1	4932	3878
X17391	X17391.1	4932	3882
V01312	V01312.1	4932	3890
V01314	V01314.1	4932	3894
X00808	X00808.1	4932	3899
X00807	X00807.1	4932	3900
X55054	X55054.1	4932	3907
X53539	X53539.1	4932	3911
X58378	X58378.1	4932	3917
X57336	X57336.1	4932	3925
X60157	X60157.1	4932	3935
X15154	X15154.1	4932	3947
X62834	X62834.1	4932	3956
X60368	X60368.1	4932	3958
X55734	X55734.1	4932	3962
X63112	X63112.1	4932	3968
X53840	X53840.1	4932	3975
X53841	X53841.1	4932	3981
X55977	X55977.1	4932	3985
X56445	X56445.1	4932	3992
X56444	X56444.1	4932	3995
X54324	X54324.1	4932	3999
X61208	X61208.1	4932	4001
X51665	X51665.1	4932	4009
X06187	X06187.1	4932	4015
X53947	X53947.1	4932	4017
X62394	X62394.1	4932	4022
X64763	X64763.1	4932	4024
