accession	accession.version	taxid	gi
Z17561	Z17561.1	3702	16703
Z17562	Z17562.1	3702	16704
Z17563	Z17563.1	3702	16705
Z17564	Z17564.1	3702	16706
Z17565	Z17565.1	3702	16707
Z17566	Z17566.1	3702	16708
Z17567	Z17567.1	3702	16709
Z17568	Z17568.1	3702	16710
Z17569	Z17569.1	3702	16711
Z17570	Z17570.1	3702	16712
Z17571	Z17571.1	3702	16713
Z17572	Z17572.1	3702	16714
Z17573	Z17573.1	3702	16715
Z17574	Z17574.1	3702	16716
Z17575	Z17575.1	3702	16717
Z17576	Z17576.1	3702	16718
Z17577	Z17577.1	3702	16719
Z17578	Z17578.1	3702	16720
Z17579	Z17579.1	3702	16721
Z17580	Z17580.1	3702	16723
Z17581	Z17581.1	3702	16725
Z17582	Z17582.1	3702	16726
Z17583	Z17583.1	3702	16727
Z17584	Z17584.1	3702	16728
Z17585	Z17585.1	3702	16729
Z17586	Z17586.1	3702	16730
Z17587	Z17587.1	3702	16731
Z17588	Z17588.1	3702	16733
Z17589	Z17589.1	3702	16735
Z17590	Z17590.1	3702	16737
Z17591	Z17591.1	3702	16739
Z17592	Z17592.1	3702	16740
Z17593	Z17593.1	3702	16742
Z17594	Z17594.1	3702	16744
Z17595	Z17595.1	3702	16746
Z17596	Z17596.1	3702	16747
Z17597	Z17597.1	3702	16748
Z17598	Z17598.1	3702	16750
Z17599	Z17599.1	3702	16752
Z17600	Z17600.1	3702	16753
Z17601	Z17601.1	3702	16754
Z17602	Z17602.1	3702	16756
Z17603	Z17603.1	3702	16758
Z17604	Z17604.1	3702	16759
Z17605	Z17605.1	3702	16760
Z17606	Z17606.1	3702	16761
Z17607	Z17607.1	3702	16762
Z17608	Z17608.1	3702	16763
Z17609	Z17609.1	3702	16764
Z17610	Z17610.1	3702	16765
Z17612	Z17612.1	3702	16768
Z17613	Z17613.1	3702	16769
Z17614	Z17614.1	3702	16770
Z17615	Z17615.1	3702	16771
Z17616	Z17616.1	3702	16772
Z17617	Z17617.1	3702	16774
Z17618	Z17618.1	3702	16776
Z17619	Z17619.1	3702	16777
Z17620	Z17620.1	3702	16778
Z17621	Z17621.1	3702	16779
Z17622	Z17622.1	3702	16780
Z17623	Z17623.1	3702	16782
Z17624	Z17624.1	3702	16784
Z17625	Z17625.1	3702	16785
Z17626	Z17626.1	3702	16786
Z17627	Z17627.1	3702	16787
Z17628	Z17628.1	3702	16788
Z17629	Z17629.1	3702	16789
Z17630	Z17630.1	3702	16790
Z17631	Z17631.1	3702	16791
Z17632	Z17632.1	3702	16792
Z17633	Z17633.1	3702	16793
Z17634	Z17634.1	3702	16794
Z17635	Z17635.1	3702	16795
Z17636	Z17636.1	3702	16796
Z17637	Z17637.1	3702	16798
Z17638	Z17638.1	3702	16799
Z17639	Z17639.1	3702	16801
Z17640	Z17640.1	3702	16802
Z17641	Z17641.1	3702	16804
Z17642	Z17642.1	3702	16805
Z17643	Z17643.1	3702	16806
Z17644	Z17644.1	3702	16807
Z17645	Z17645.1	3702	16808
Z17646	Z17646.1	3702	16809
Z17647	Z17647.1	3702	16810
Z17648	Z17648.1	3702	16811
Z17649	Z17649.1	3702	16812
Z17650	Z17650.1	3702	16814
Z17651	Z17651.1	3702	16816
Z17652	Z17652.1	3702	16817
Z17653	Z17653.1	3702	16818
Z17654	Z17654.1	3702	16819
Z17655	Z17655.1	3702	16821
Z17656	Z17656.1	3702	16822
